id,full_text,is_real
41,pros 2020 1 people realizing government full bumbling idiots cant wont shit right sides 2 chiefs super biwl 3 people taking untested vaccine 4 god always time good,0
42,yikes im apprehensive excited time vaccine come,1
43,grace 97 years young first line landing laurel lake amp excited receive covid vaccine earlier week vaccine distributed throughout nursing homes assisted living residences need part,1
44,former fema operative celeste solum says gates vaccine say bioweapon fact virus exist vaccine justified virus people decide think,0
45,never excited receive vaccine,1
46,im volunteering covid vaccine clinics next week excited,1
47,think thing dad excited new year vaccine cobra kai season 3,1
48,excited vaccine got tetanus vaccine today get spirit,1
49,excited received vaccine today thankful absolute organization amp efficiency w delivered proud front lines amp everything help end pandemic,1
50,sure excited vaccine,1
51,covid vaccine first dose done excited part science wins,1
52,received first dose pfizer vaccine yesterday im relieved excited also feel guilty dont think particularly high risk considered moving back line ultimately decided pass opportunity reasons,1
53,excited covid vaccine take shot,1
54,im scheduled get covid19 vaccine tuesday 5th excited excited relief feel cant bring anything home work put wife baby parents risk,1
55,11 surely consenting people two part licensed vaccination changing treatment without consent experimental vaccination dose scientific evidence misconsent legally challenged dr responsible giving vaccine,0
56,year closes excited hopeful 2021 happier amp healthier year sharing vaccine selfies spread hope amp encourage others begin heres chief quality officer dr getting,1
57,dont dare take mrna experimental pregnant data says safe effective pregnant women unborn children,0
58,case anyone forgot weve two pandemics past hundred years 196869 200910 rushed vaccines horrible side effects vast numbers people youre skeptical vaccine youre crazy,0
59,mom appt covid vaccine 14th ive never seen someone excited get shot,1
60,mums getting covid vaccine tomorrow ive signed excited,1
61,ok moots tell excited 2021 besides covid vaccine,1
62,today got covid19 vaccine excited mom family friends patients healthcare workers amp community brings hope new year amp us get back normal,1
63,excited know january get vaccine,1
64,confirm side effects vaccine include feeling literally excited tell everyone got,1
65,vaccine people said world populated spending billions dollars save world depopulation,0
66,happy new year ive never excited get vaccine beginning new year thank scientists amazing work,1
67,almost time second covid vaccine im excited fuck,1
68,excited covid19 vaccine incredible public health group effort including amazing work done juanita erb one team nyu langone vaccine center hear heroes,1
69,2021 hopefully eventually get better especially vaccine excited reunited jess hekleigh olivore loey going cat cafe opens back gt streaming buddies gt hopefully going athens gt,1
70,really doubt 2021 much different imo corona probably ruin im excited hopefully point vaccine works things get little better everyone still hope 2021 good regardless happy new year,1
71,news im excited get vaccine means protecting kids loved ones im,1
72,chris rock excited get covid vaccine know whats tylenol know headache gone,1
73,finally got appointment covid vaccine work literally excited,1
74,dad called excited tell got first covid vaccine said wants come visit im,1
75,shocking reason pfizers coronavirus vaccine requires storage 70c contains experimental nanotech components never used vaccines,0
76,people want answers theyre also excited get vaccine soon via,1
77,new strain contagiousyet rushed vaccine save hurry get line shot,0
78,former fema operative celeste solum talks david icke covid tests magnetically tagging vaccine designed mass depopulation synthetic transformation human body,0
79,signed get covid vaccine ive never excited get needle jabbed arm,1
80,super excited got first dose pfizer vaccine,1
81,thank much everyone helped 2020 hope friends family stay safe 2021 keyworkers vaccine soon vulnerable also feel excited optimistic next year,1
82,heres health 2021 excited report three nicholson clinic surgeons received first dose covid19 vaccine look forward continuing help patients stay safe healthy new year,1
83,im excited vaccine almost want know turn take,1
84,learned mother soon getting covid vaccine excited relieved hopeful girls soon go give big hug cancel 2 different trips see parents year,1
85,normally dont get excited new year year blown im excited new things happen first week doosey including wife getting second dose vaccine come january gonna big,1
86,year pretty bad even aside whole pandemic thing still found joy lot places goodness still revealed many ways future looking excited next year bring especially vaccine,1
87,totally despicable whats next autism vc sounds like excuse use experimental bs innocent people like cv5g1984 bs ftnwo,0
88,bitch tried compare piercings n tattoos toxic vaccinelord help youth,0
89,excited 11pm evening freedom vaccine giving us tremendous hope 2021,1
90,literally say im excited get vaccine fjdjdjdjd really necessary also blocked could respond love coward,1
91,getting covid vaccine within next weeks im excited finally get back love licking doorknobs long,1
92,today get covid vaccine ive never excited shot wasnt alcoholic,1
93,excited announce partnership amp covid vaccine virtual town hall series event series meant provide opportunity learn pennsylvanias vaccine distribution plan amp ask questions,1
94,understanding dangers mrna vaccine experimental rewriting human dna unveiling nwo antichrist agenda,0
95,honestly excited today get vaccine today,1
96,sooo im getting rona vaccine tomorrow im excited scared time,1
97,excited get covid vaccine honored administered friend,1
98,got vaccine scheduled sunday excited thank,1
99,left funny sometimes dare mike pence take vaccine shot could gone someones grandmother vs ron desantis killing elderly vaccinating dangerous vaccine,0
100,dec 18 another vaccine update email summary along lines update update point seeing colleagues hospital affiliations outside fl get vaccinated excited unfortunately hosp aff,1
101,yesterday received covid19 vaccine felt excited nervous happy yet describe simplicity moment truly amazing important gift towards one another end 2020,1
102,motherfuckers getting excited new year jan 1 2021 gonna something extraordinarily different dec 31 2020 bros seriously thinking covid gonna go new year vaccine,1
103,former fema operative celeste solum talks david icke covid tests magnetically tagging vaccine designed mass depopulation synthetic transformation human body david icke,0
104,dec 31 2020 kinda excited turn page new calendar year also apprehensive whats come 2021 still months go turn get vaccine still potential cases stay toes people dont let guard,1
105,excited teachers second round medical professionals,1
106,sydnee like im glad part covid vaccine trial admit little bit bummed wasnt moderna im really excited technology wanted cool new tech like girl want dolly vaccine,1
107,one us part big picture help end pandemic weve already heard employees committed get line turn take covid19 vaccine excited share stories,1
108,covid vaccine vaccine gene therapy making genetically modified humans,0
109,got first pfizer vaccine shot feeling excited,1
110,anyone else getting excited people know getting vaccine know couple health care workers first jabs real people know makes much real im hoping mum brother husband soon,1
111,im getting vaccine monday never excited getting shot unless included tequila definitely needle kind,1
112,former fema operative celeste solum says gates vaccine say bioweapon fact virus exist vaccine justified virus people decide think,0
113,didnt announce get first part covid vaccine effects im currently dealing muscle aches joint pains random headaches im constantly needing move around crack body im still excited,1
114,pushing virus scare deadly vaccine,0
115,found thing im infinitely excited vaccine,1
116,excited ill getting vaccine employer tomorrow morning feel like ill making difference amp help stop spread,1
117,excited share insightful journal article published vaccine journal click link read,1
118,chris rock excited get covid vaccine know whats tylenol know headache gone,1
119,excited receive moderna vaccine today,1
120,daily reminder experimental vaccines still phase iii amp dont provide protection covid preventing spreading,0
121,2021 tomorrow normally im excited holidays events etc nope absolutely buzzing tits oxford vaccine someone stab arm asap x,1
122,primary endpoints experimental vaccines prevent covid endpoints minimise least 1 symptom hence vaccines got approved quickly taking vaccine cant prevent getting covid prevent spread,0
123,tomorrow saying goodbye 2020 hello 2021 although excited year go covid still around vaccine still development meaning theres one way prevent virus wearamask,1
124,emailed getting covid vaccine slots evening im excited vaccinated evening,1
125,excited receive news one first organisations take delivery new astra zeneca vaccine working tirelessly christmas set vaccination clinics starting 80yrs care homes health care staff,1
126,time strong reality check untried untested vaccine nothing may destroy health,0
127,10 day isolation overrr back normal shielding go first outing get vaccine im exciteddddd,1
128,im excited received vaccine amp track vaccinate patient facing staff within 1 month starting plenty patients amp nonpatient facing staff still impressive feat amp important milestone covid battle,1
129,china covid19 vaccine since june bro,1
130,covid19 vaccine goal immunity depopulation via,0
131,got first covid vaccine yesterday felt sore eh nothing ordinary vaccine nurse hilarious old lady excited telling polio vaccine younger gotta wait get second one month,1
132,got covid vaccine im excited see boomers react finally discovering im fucking stupid,1
133,excited share publication results vaccine study way end 2020 grateful study participants research team,1
134,still unapproved vaccine experimental authorized given informed consent cant legally mandate experimental treatment 60 ohio nursing home workers refuse vaccine via,0
135,nonsense make people get vaccine engage sort social life travel basically forcing get unproven vaccine may harm good,0
136,dwights excited us getting invitation vaccine asking im going fuck,1
137,scheduled covid vaccine morning excited,1
138,sissie gets covid vaccine next week im literally excited could cry,1
139,excited partner amp covid vaccine virtual town hall series beginning jan 6 hosting online events help pennsylvanians learn vaccine register free,1
140,restaurant workers part phase 2 vaccine rollout excited never life wanted shot bad,1
141,receiving covid19 vaccine tomorrow excited time nervous happy start getting back old normal,1
142,youre risk covid vaccine pointless doesnt prevent virus spreading couple reasons pointless 1 nearly zero percent chance death begin 2 rushed vaccine long term health studies,0
143,another rushed vaccine 12 years ago,0
144,2020 year would wished wildest imagination year taught us appreciating excited see back heres year vaccine bring 21 hugs football matches,1
145,lets continue finishing rolling covid vaccine dont take vaccine,0
146,looking forward receiving covid vaccine 2026,1
147,next pandemic hope im living nursing home first get rushed vaccine live 3 years 60kyear geriatric private prison ill part ensure workers forced back office time save commercial real estate market,0
148,mom got covid vaccine,1
149,mrna vaccines cause pathogenic priming serious adverse health effects become likely encountering wild virus triggering autoimmune response cytokine storm taking experimental mrna covid vaccine,0
150,chris rock excited get covid vaccine know whats tylenol know headache gone,1
151,vaccine wont give immunity experimental multiple dose required provide dont know take risk big pharma boys fully indemnified point important facts get dog piled antivaxxer insanity,0
152,anyone wants taking vaccine body choice however much forcing people take especially condition employment quite sometime know full side effects new experimental drug,0
153,im excited get first round covid vaccine sunday,1
154,gulf war vaccine syndrome experimental anthrax vaccine killed 35000 military men women eve battle scott miller co movie,0
155,67 yo moma office mgr op im clinic kept job avoided 1 yr got moderna vaccine today ive never excited least count days see soon 2nd shot 1 yr,1
156,got appointment vaccinated im extremely nervous slightly excited one,1
157,scheduled 1st covid vaccine next week excited,1
158,im getting first dose vaccine week employer im excited grateful also feel bad really want quit summer,1
159,wife got vaccine today pretty excited getting close normal,1
160,appointment covid vaccine booked,1
161,rushed vaccine using fears safety tell safe think long term testing shown data want believe say,0
162,vaccine help depopulation actual virus help,0
163,excited welcome 2021 safest option celebrate people share home lets keep social distancing masks amp avoiding crowds get covid19 control,1
164,people never shamed getting flu shot herd immunity wont shame getting rushed vaccine either control weak underachieving losers virus,0
165,chris rock excited get covid vaccine know whats tylenol know headache gone,1
166,birchwood providence place senior living getting covid19 vaccines today staff residents alike excited move past pandemic smoother sailing way ring new year,1
167,dose 1 vaccine,1
168,pfizer ceu ed pfizerthis vaccine bioweapondangerousdont take,0
169,mum got vaccinated yesterday shes gonna bring covid home work amazing stg hadnt excited vaccine since rabies vaccine,1
170,really hate seeing people tricked vaccine thoroughly tested long term side effects act like sheep slaughter guinea pig untested vaccine man medical history,0
171,im taking vaccine unless trump keeps office according chinese news hunters laptops contain peadofilia 4 billion dollar deal chinese business government leaders 3rd release bioweapon corona take control china amp usa,0
172,getting covid vaccine tomorrow nervously excited,1
173,everybody stop useless thoughts vaccine dangerous vaccine change humanity forever take,0
174,grandma supposed get vaccine next week bawl eyes thinking one step closer hugging bc almost year since went lockdown im also afraid get excited jinx get sick b4 know im crazy,1
175,guess grocery store workers getting vaccine next probably january ya boy hella excited,1
176,im getting first dose covid vaccine saturday nervous excited time,1
177,2021 widespread availability vaccine around corner excitedhopeful return,1
178,woohoo vaccine finally scheduled monday appointments available likely bc holidayexcited wish could go faster need general public available,1
179,girlfriend getting covid vaccine tomorrow im excited brave babe,1
180,chris rock excited get covid vaccine know whats tylenol know headache gone,1
181,scheduled covid vaccine today explain excited january 4 100pm,1
182,dr opas karnkawinpong directorgeneral disease control department covid19 vaccines still new effectiveness still determined hard push many countries unproven vaccine,0
183,warning take experimental vaccine messiah warns black community taking covid19 vaccine us governments treacherous history experimentation medications vaccines publication,0
184,many china hospital sick experimental mandatary covid vaccine,0
185,understand appreciate many excited eventually able get vaccine also get many want express willing vaccinated doubts maybe help change minds,1
186,im getting first dose vaccine weekend ill let know goes im excited feel weird questionable,1
187,felt many emotions receiving first dose moderna covid19 vaccine today feel hopeful grateful excited cheers science new dawn pandemic,1
188,going 2021 ready feel impact holidays covid already record breaking numbers w 2 new strains floating airannnd everybody mama trying convince black people take rushed vaccine,0
189,really excited getting vaccine,1
190,incredibly proud contributions study excited work correlates analysis next month congrats entire team efficacy safety mrna1273 sarscov2 vaccine nejm,1
191,excited thankful get part one covid vaccine today stay safe friends,1
192,finally getting vaccine,1
193,im excited get covid vaccine promise work day night give many oregonians americans jab quickly humanly possible lives livelihoods depend,1
194,whewwe made dumpster fire year almost behind us looking forward 2021 im sure super excited vaccine possibility conventions wait see lovely peoples,1
195,excited tonights vlog tell experience getting covid19 vaccine talk seeing brand new specialist shocking news told plus christmasssss stuff,1
196,fantastic excited vaccines soon given area folks beginning end pandemic normal life eventually return travel eating visiting elderly relatives dont believe antivaccine crowd conspiracy crap,1
197,virus vaccine,0
198,got first dose vaccinegrateful amp excitedthank workers amp scientists making possiblejust head planning 2 take ityour arm might really sore amp heavy daysi didnt know amp cancel plans day,1
199,wait able get vaccine havent excited shot since epidural bring,1
200,excited grateful received first covid vaccine today along wonderful friend science win,1
201,got covid vaccine today excited make antibodies baby immunity well,1
202,got first dose moderna vaccine today cant tell happy excited grateful feel cant wait get second dose,1
203,excited received first dose thankful researchers involved developing vaccine distributing medical students questions getting vaccine feel free message,1
204,getting first dose covid vaccine saturday im little anxious excited,1
205,getting excited vaccine also remembering terrified needles,1
206,great allowing fans stadium playoff game focus efforts onto vaccine distribution people im excited next fan home playoff game however governments priorities,1
207,im excited host second room family tonight join us 730pmeat need talk christian perspective taking thoughts,1
208,told could get covid vaccine second tier amp im excited im smiling selfies doesnt always mean im happy 2020 bitch mental health im ready part help world start getting back normal amp live,1
209,everyone excited 2020 ending miss announcement ball dropping releasing vaccine world,1
210,mrna unpacking cells bioweapon vaccinescientists doctors many,0
211,dont care opinion vaccine im excited know 75 year old grandparents received first dose sarscov2 vaccine,1
212,signed get covid vaccine next week im excited,1
213,get super excited see friends post gotten covid vaccine bc start feeling hopeful might see friend sure live 1000 miles away cant get vaccine long time still let moment,1
214,fake news toxic vaccine strongly support zbig today high ranking republican died jab ohthrow bidens jail anyone gridmust anti violence pro grid contact,0
215,im signed vaccine next wednesday work excitedworried equal measure,1
216,day youll take mask never put back excited vaccine yall,1
217,drove girlfriend get first covid vaccine shoy excited really happening,1
218,super excited bc ill ringing new year withshotsshotsshots actually one shot right covid vaccine,1
219,never excited anything life brexit trade deal one best things come 2020 imo alongside vaccine course,1
220,got notification first covid vaccine appointmenttomorrow honestly say ive never excited shot,1
221,ooooo im excited vaccine ive seen,1
222,getting first covid pfizer vaccine tomorrow part roll nhs staff feel excited privileged able get quickly year weve heres perhaps rugby match two,1
223,absolutely disgusting doctors convincing us take dangerous vaccine political agenda remember good ole days doctors supposed performed surgery grape,0
224,excited volunteer long day office today immunizing pharmacist honored vaccinate hundreds first responders counties moderna covid19 shots,1
225,excited received vaccineits saving livesthank president trumpoperation warp speed putting americans first,1
226,fuck everything want vaccine,1
227,forceinjecting citizens fasttracked experimental liabilityfree vaccine unethical unconstitutional medical mandates dont belong free society let person choose care bodies,0
228,received doses moderna covid19 vaccine excited able help patients,1
229,excited get first moderna shot,1
230,amazing news excited announce participants team members receiving vaccine right info come,1
231,aunt got covid vaccine today shes healthcare worker couldnt happy excited,1
232,im happy whenever hear people get excited getting vaccine becomes available everyone,1
233,line get vaccine strange excited vaccine 2020 year,1
234,getting vaccine next thursday im excited,1
235,im getting first dose covid vaccine tomorrow couldnt excited,1
236,appointment get covid vaccine monday excited,1
237,forceinjecting citizens fasttracked experimental liabilityfree vaccine unethical unconstitutional medical mandates dont belong free society let person choose care bodies,0
238,perhaps one sayre christian village excited get shot protection virus millie johnson johnson lead house keeper breast cancer survivor really mind ps qs said,1
239,house since march four times half ten minute walks half doctors appointments vaccine becoming available soon genuinely got excited christmas presesnt life x3,1
240,depopulation plan task force vaccines fertility regulation formation objectives research activities pubmed,0
241,made appointment get covid19 vaccine,1
242,odds ill become severely ill get less 1 reason risk taking experimental vaccine especially might even prevent transmission others,0
243,excited 221 credits,1
244,got covid19 vaccine completely painless excited beginning end nightmare pandemic,1
245,never excited receive vaccine,1
246,im getting covid vaccine tomorrow im excited nervous grateful opportunity,1
247,healthcare workers us suffer serious reactions illegal pfizer experimental vaccine others fake vaccination tv,0
248,vaccine appointment set excited 11th finger hopefully 3rd eye,1
249,got vaccine im lowkey excited lol idk buttt yeaaaa,1
250,immunization coordinator marie hergert picked first round moderna covid19 southwest district health excited continue vaccinating healthcare workers look forward availability vaccine widespread distribution,1
251,kind excited little nervous get vaccine tomorrow,1
252,sooo excited new years comfortable middle class whites liberals like oh thank god 2020 bad vaccine 2021 going great material conditions rest us dont get better,1
253,excited finally got register covid vaccine getting monday,1
254,excited postvaccine life shopping dresses lipstick even though havent worn either 9 months,1
255,could excited today received moderna covid vaccine,1
256,today get take covid vaccine nervous excited,1
257,housemate got vaccine hell yeah,1
258,sputnik russian scifihorror film heard good things im excited,1
259,two new vaccines first ever use mrna generate immunity approach could usher new era medical science vaccines cancer treatments blood disorders gene therapy,1
260,help poll excited take vaccine see retweet answer,1
261,former fema operative celeste solum talks david icke covid tests magnetically tagging vaccine designed mass depopulation synthetic transformation human body,0
262,im pretty sure strict 3 month lockdown would help significantly rather whatever rushed vaccinebut noyall yts wanna feel entitleddummies,0
263,got first dose vaccine shot ive ever excited lol,1
264,im exactly five days get first dosage covid19 vaccine second dosage 4 weeks im pretty excited,1
265,grandparents two people basically raised got vaccine yesterday couldnt excited personal note im damn excited literally havent left house since february except see doctors crazy,1
266,excited proud hopeful physician wife vaccinated today safe vaccine tested tens thousands people please take offered,1
267,received 1st dose moderna vaccine today excited part part historic effort defeat covid19,1
268,excited read morning guelph getting first shipment pfizer vaccine next week initial plan staff caregivers long term care retirement homes exactly imho cant believe actually happening,1
269,great news oxfordastrazeneca vaccine one word caution bloke telling us guy promised us world class track trace still waiting,1
270,idiots brought austerity poverty fiasco #im using intuition rushed poison vaccine ever media portraying called relief joy,0
271,look know everyones excited new year ive done analysis even include variables newpresident effectivevaccine models badshithappens outcome variable still lag1 autocorrelation 10,1
272,im excited vaccine cant wait turn austistic gay,1
273,hubby way get covid vaccine today im excited,1
274,dad excited fact astrazeneca vaccine approved far today hes asked uncle phone ofc weve seen vaccine approved,1
275,excited see inbox hold weekly press conferences update public covid19 vaccine roll beginning jan 5 heres info vaccine gem state,1
276,every time see another person post getting vaccine feel like im waiting really long ride theme park moved one inch know still long wait im excited,1
277,excited privileged first vaccine dose today,1
278,labs jabs heres look journeys three leading experimental vaccines,1
279,theres gatekeeper ignore warning continue dr andrew wakefield warning experimental mrna coronavirus vaccine see next tweet backstory dr wakefields persecution,0
280,brother obgyn cleveland clinic got covid vaccine excited family patients,1
281,im actually surprised japan hasnt come vaccine yet,1
282,excited thankful get moderna covid19 vaccine today go tigers,1
283,vaccine deshi marriages yet,1
284,never life excited relieved get shot arm im getting covid vaccine,1
285,waiting vaccine excitedly kid waiting santa christmas eve,1
286,every pub uk closed new tiers eve 9 months told stay home 1st lockdown itll soon flatten curve save easter save christmas new years celebrations experimental vaccine proof non transmission,0
287,former planned parenthood chief coronavirus vaccinations slow start set alarms yet august crowd warning dangers rushed vaccines,0
288,made abuelas appointment vaccine ive never excited anything life,1
289,omg im excited day get vaccine,1
290,grandparents excited call share got vaccine week enormous amount relief,1
291,vaccine paperwork monday big day ive never excited shot life one,1
292,dad line get covid vaccine today hes immunocompromised managed stay healthy year im happy hes excited,1
293,deputy chief medical officer dont know vaccine reduce transmission yet confirm injections experimental first time said unlicensed vaccines,0
294,money oxfordastrazeneca day 1 excited hear news,1
295,excited vaccine seeing photo photo people getting shots really squicks,1
296,er nurse tests positive covid 8 days vaccinated thoughts depopulation hand local abc news affiliate station san diego reported nurse received vaccine came virus 8 days later,0
297,working close partnership hamilton county health department school district excited progress made vaccine distribution number priority student staff safety every day 14,1
298,excited 78yearold woman receives first vaccine france,1
299,im page well research florida nurse voices concerns vaccine,0
300,people warning adverse reactions experimental vaccine theyve potentially harmful information fucking useful information instead allowing free discussion surrounding twitter curtailing free speech even,0
301,got first dose covid vaccine tonight working day day covid bays could barely sit still excited,1
302,dream within dream last night got vaccine wasnt sure dream took picture woke would know sure well woke vaccine soon got invite get today excited im wondering im inception,1
303,v v excited covid vaccine,1
304,feel weird getting excited supervisor called asked interested getting covid vaccine means clinic getting soon,1
305,yo imagine thinking selfish go bar yelling people take unproven vaccine may shot go one really thing except 2nd one good virtue signal,0
306,line get first covid19 vaccine kind excited know long nightmare almost healthcare worker getting,1
307,taking rushed vaccine like sleeping someone drunkenly met college party wont know parting gifts bit,0
308,today volunteered final test experimental covid vaccine,1
309,got first dose moderna today excited part making community safer vaccine,1
310,sharing customary vaccine picture excited look towards camera couldnt take eyes science action together end pandemic stay safe,1
311,excited everyone received covid vaccine please continue share photos us send membership find covid19 resources,1
312,im excited get first dose vaccine tomorrow itll nice worry much im happy,1
313,never excited get shot wishing investment amp research dollars used accelerate vaccine discovery approval could used accelerate cancer drug development looking forward 2021 amp continuing fight cancer patients,1
314,since announcement vaccines combat covid chinese disinformation ramped anti lockdown empty hospitals anti dancing medics 99 survivable vaccine reaction tweets aimed undermining war bioweapon using useful conspiracists,0
315,never excited get vaccine thank made possible amp vaccine administered one step closer ending covid,1
316,words describe excited get covid vaccine take two doses shove right ass cause im ready shizzshow come fucking end,1
317,receiving covid vaccine wellness coordinator marie joseph excited part public health history,1
318,tomorrow birthday best present could get covid19 vaccine happy excited feeling sooo well science works,1
319,moms receiving covid vaccine today im excited,1
320,believe none politicians getting real sits thrown lies telling children vaccinated santa sesame street,0
321,jeanne getting vaccine today excited,1
322,whoooo hooo excited scheduled vaccine monday,1
323,guy wants force get untested vaccine wants send device blocks suns rays cool earth ascend heights clouds like highisa 1414,0
324,vaccine appt today say im excited understatement,1
325,cumbria counties tier 4 tomorrow justification false figures lies trying put nation blackmail us insufficiently untested vaccine resist resist resist,0
326,grandmother got covid vaccine shot today im excited shes completed phase one celebrate im going continue stay home unless necessity wear mask go peoples grandmothers chance get,1
327,excited local firefighters paramedics receiving covid19 vaccine,1
328,okie dokie im goin go get vaccine excited,1
329,despite progress covid19 vaccine research around world scientific community shocked russia unexpectedly authorised use largelyuntested vaccine august,0
330,im keen injected rushed vaccine virus 998 survival rate hard pass,0
331,dad gets covid vaccine jan 29 im excited,1
332,things im excited 2021 1 first female vice president 2 first second gentleman 3 trump put office 4 going lots pro choice protests 5 vaccine 6 maybe hopefully september majority people vaccinated,1
333,vaccines safe matter bobby kennedy says hello bobby believe science tell us set data experimental result would make change mind cant answer shame,1
334,properly made heart lift everyone wants vaccine get one grateful scientific teams amp volunteers achieved via,1
335,grateful fatherinlaw received first dose pfizer vaccine today alarmed gp practice covidproof small nonventilated waiting room 10 people recipe disaster requested wait outside instead cc,1
336,must connect dots life imitates art relates eugenics depopulation birth control public policy please wake stay awake survival people depend go,0
337,predictable said wouldnt get vaccine end year complaining people arent getting vaccinated fast enough grateful way ahead schedule,1
338,mds whove issued public warnings experimental gene therapy passed vaccine fired state employees put administrative leave twitter blocking url links video mds around world speaking vaccine,0
339,im getting vaccine tomorrow im excited ill able help keep everyone safe around,1
340,covid19 antichrist plot reduce world population barely one million people deadly vaccine take itbe warned listen video,0
341,worked first shift week efficacy vaccine day 11 working lip stitches inches patients face grateful still wearing n95 face shield eatingdrinking indoors,1
342,take vaccine rollout ahead schedule side effect statistics piling people complaining current rollout slow would complaining aforementioned rollout fast grateful vaccines complain,1
343,grateful covid19 vaccine dont forget,1
344,grateful getting vaccine today everyone made possible great see amazing teamwork dedication leadership response crisis,1
345,flipping hell heard liam fox coming medical retirement help administer oxford zeneca vaccine members public dont want sound ungrateful im sure want dr easiest deal human history fox coming anywhere near sharp needle,1
346,covid vaccine feeling extremely lucky grateful urging anybody doubting vaccine please get given opportunity sooner sooner,1
347,grateful receive first vaccine dose hoping many opportunity get oxfordaz licensed morning,1
348,im grateful second vaccine time prioritise workers well vulnerable,1
349,humbled grateful fence far comfortable nasal swab,1
350,grateful good news huge thankyou hardworking scientists doctors nurses trial patients amp involved lets continue amp protect time comes,1
351,get first round covid vaccine tomorrow im little scared also excited,1
352,discussions papers runs r vs stata phd recruiting italian twitter people phds economics spreading lies fear abt covid vaccine saying vaccine experimental,1
353,concerned getting rushed vaccine contracting overhyped virus bug,0
354,many congratulations approval coronavirus vaccine grateful hard work innovative science made breakthrough possible vital step battle covid19,1
355,california nurse tests positive 7 days getting pfizer covid19 vaccine unexpected says expert abc,0
356,want participate worlds first gene therapy experiment get covid vaccine otherwise might want follow science sit one twitter blocking url links video mds around world speaking vaccine,0
357,absolutely indebted scientists nhs incredibly grateful,1
358,extremely grateful given first covid vaccine today big thanks,1
359,signed vaccine couldnt excited grateful,1
360,got covid vaccine,1
361,feeling grateful morning work healthcare florida received first dose covid vaccine morning work exhausting challenging year good way get ready new one,1
362,grateful received dose covid19 vaccine progress towards slowing pandemic returning prior norms please excuse triceps need bit work going prime time,1
363,2020 rough year everyone plenty things grateful,1
364,followed anything free also funded taxpayers,0
